"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
3.3,9.8,1.2,0.3,0.5,0.75,23,0.373,0.8,"SG"
7.3,18.7,3.1,0,1,0.708,33,0.59,1.6,"PF"
4.6,12.6,2,0,0.6,0.768,36,0.536,2.2,"C"
4.5,12.1,1.5,1,0.4,0.824,24,0.44,0.7,"PF"
2.7,9.8,1.2,0,0.2,0.375,22,0.48,0.7,"SF"
12.7,31.7,5.1,0,2.5,0.482,28,0.714,1.2,"C"
2.5,12.5,0.9,0.3,0.4,0.625,28,0.387,0.9,"SG"
3.4,8.5,1.3,0.2,0.6,0.7,20,0.431,1.3,"PG"
5.6,16.5,1.8,0.4,1.6,0.764,24,0.422,2.1,"PG"
27.3,35.4,9.7,0.4,7.4,0.842,27,0.467,3.9,"SG"
27,34.2,9,1.8,7.2,0.772,26,0.452,4.6,"C"
8.9,26.1,3.1,1.5,1.2,0.761,30,0.4,1,"SF"
2,3.4,0.6,0.2,0.6,0.5,22,0.75,0.6,"PG"
17.9,31.5,6.9,1.3,2.8,0.855,23,0.451,6.3,"PG"
5.1,17.1,1.8,1.3,0.2,0.778,23,0.354,1.1,"SG"
11,25.9,4.1,1.3,1.4,0.826,32,0.438,5.6,"PG"
9.5,23.7,4.1,0.1,1.3,0.615,25,0.487,1.1,"PF"
5.3,17,2.1,0.1,0.9,0.707,19,0.562,0.4,"SF"
18,32.5,7.2,0.2,3.5,0.874,28,0.471,4.4,"PG"
6.1,16.1,2.2,0.6,1.2,0.652,25,0.443,0.6,"PF"
22.1,35,7.8,1.9,4.7,0.832,20,0.423,3.4,"SG"
6.7,16.7,2.1,0.9,1.6,0.829,33,0.399,2.1,"PG"
5.1,17.5,2.1,0,0.9,0.699,27,0.622,0.6,"C"
1.6,6.6,0.7,0,0.3,0.556,20,0.511,0.1,"C"
1.4,3.4,0.4,0,0.6,1,19,0.231,0,"C"
15.8,30.1,6.1,1.8,1.8,0.646,25,0.424,4.3,"SG"
14.2,26.4,5.5,1.5,1.8,0.875,38,0.437,1.5,"PF"
5.9,20.1,2.4,0.6,0.5,0.657,20,0.399,1,"PF"
4.4,14.1,1.7,0.3,0.7,0.51,26,0.413,0.9,"PF"
4.3,20.3,1.5,0.7,0.6,0.754,23,0.372,0.8,"PF"
9,22.8,3.4,1.2,1.1,0.845,25,0.447,0.9,"SF"
3.4,13.3,1.3,0.7,0.1,0.364,19,0.354,0.5,"PF"
10.2,32.5,3.6,1.1,2,0.709,26,0.418,7,"PF"
13.5,29.7,5.2,0,3.1,0.533,31,0.633,1.4,"C"
6.7,17.3,2.5,0.3,1.4,0.759,25,0.515,0.6,"C"
18.3,29.9,6.9,0.8,3.7,0.794,35,0.434,3.8,"SG"
9.6,24.9,3.9,1.1,0.8,0.77,27,0.457,2.2,"SG"
4.3,17.2,1.6,0,1.1,0.617,27,0.528,0.6,"PF"
12.8,29.4,5.2,0.5,1.8,0.692,22,0.471,6.5,"PG"
11,25.6,3.8,1,2.4,0.784,20,0.377,3.9,"PG"
14.3,21.3,5.6,0.1,3.1,0.786,24,0.545,0.9,"C"
21.1,33,6.8,1.6,5.9,0.847,27,0.434,6.3,"PG"
16.2,31,5.5,3.3,2,0.84,28,0.406,2.5,"SG"
13.1,26.1,4.7,1.7,2,0.778,29,0.431,1.7,"PF"
17.2,32.9,6,1.9,3.3,0.805,24,0.439,3,"SG"
9,25.5,3.6,0.5,1.3,0.825,28,0.426,3.2,"SF"
11.7,26.1,4.3,1.5,1.6,0.756,23,0.399,2.2,"C"
2.9,7.9,1.1,0.3,0.5,0.818,22,0.351,0.9,"PG"
7.8,26.6,2.8,1.3,0.9,0.784,30,0.424,2.6,"SG"
14.9,31.3,5.6,1.9,1.8,0.776,22,0.502,2.9,"SG"
16.9,31.5,5.9,1.9,3.2,0.801,30,0.477,4.2,"PG"
0.9,4,0.4,0,0.1,1,23,0.25,0.2,"PF"
5.6,16.1,2.5,0,0.5,0.857,19,0.549,0.9,"C"
5.6,11.4,2,0.8,0.7,0.805,31,0.409,0.7,"SF"
