"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
7.8,22.3,3.1,1.4,0.3,0.667,30,0.392,5.1,"PG"
12.8,29,4.8,2,1.2,0.85,26,0.481,2.7,"PG"
9.9,19.4,3.7,0.6,1.9,0.774,24,0.482,0.4,"SF"
4.1,9.7,1.4,0.6,0.7,0.776,25,0.399,1.3,"PG"
5.1,17.7,2.3,0,0.6,0.7,31,0.547,1.8,"PG"
3,9.6,1,0.2,0.8,0.852,24,0.4,0.5,"SG"
7.8,21.9,3.1,0.7,1,0.688,26,0.446,2.8,"PG"
8.8,18.5,3.5,0.1,1.6,0.703,20,0.537,0.8,"PF"
7,29.7,2.3,1.2,1.3,0.805,25,0.383,1.8,"SF"
7.3,22.6,2.3,0.6,2.1,0.792,23,0.444,3.1,"PG"
6.2,14.8,2.5,0.5,0.8,0.846,28,0.484,1.5,"PF"
4.4,17.8,1.7,0.6,0.5,0.679,20,0.353,1.4,"SF"
25.3,33.4,8.5,4.1,4.1,0.898,28,0.468,6.6,"PG"
1.2,5.7,0.5,0,0.2,0.6,20,0.323,0.2,"C"
11.3,29.9,4.7,0,2,0.611,23,0.571,1.1,"C"
6.9,26.3,2.9,0.1,0.9,0.811,24,0.461,6.6,"PG"
14.4,31,6.1,0.4,1.8,0.773,23,0.495,1.1,"SF"
10.8,25.5,4.7,0,1.4,0.715,31,0.515,0.9,"PF"
5.7,16.3,2.2,0,1.2,0.752,25,0.51,0.6,"C"
10.8,23.5,4.3,0.4,1.9,0.606,25,0.47,1.1,"PF"
11,25.1,4.2,1.8,0.8,0.831,25,0.437,1.1,"SF"
5.5,17.1,2,0.8,0.7,0.773,22,0.367,1.8,"PG"
7.2,25.7,2.8,0.7,0.9,0.733,32,0.441,1.7,"SF"
11,30.2,4.9,0.6,0.6,0.523,28,0.527,1.6,"PF"
5,11.7,2.2,0,0.6,0.47,25,0.536,0.6,"PF"
4,9.9,1.5,0.5,0.6,0.653,19,0.459,0.4,"C"
4.9,9.5,1.8,0.3,1.1,0.818,32,0.452,0.5,"C"
7.1,23.5,2.5,0.6,1.5,0.76,26,0.403,5.2,"PG"
14.5,27.3,5.3,1.9,2.1,0.766,24,0.455,2.3,"SG"
1.9,5,0.8,0.3,0,0,22,0.448,0.7,"SG"
7.4,20.4,3.1,0,1.2,0.808,30,0.515,0.8,"C"
6.4,17.2,2.1,0.7,1.5,0.854,21,0.402,1.1,"SF"
16.1,31.3,6.2,1.3,2.3,0.841,24,0.481,1.7,"PF"
2.7,12.6,1.1,0.2,0.4,0.697,25,0.415,1.6,"SG"
9.1,27,3.9,0.2,1.1,0.615,35,0.461,1.4,"SG"
10.1,25.2,4.2,0.4,1.3,0.726,34,0.466,4.5,"PG"
8.5,29.2,3.1,1.8,0.6,0.81,25,0.455,1.2,"SG"
2.1,7,0.7,0.3,0.4,0.667,23,0.475,0.2,"SG"
11.7,34.7,4.1,2.4,1.2,0.738,31,0.409,2.2,"SF"
10,24.7,4.3,0.4,1,0.673,29,0.516,1.9,"PF"
5,12.3,2,0.5,0.4,0.759,24,0.455,1.8,"PG"
6.2,16.3,2.2,0.9,0.8,0.722,21,0.362,1,"PF"
8.1,29.9,3.4,0,1.4,0.498,25,0.6,1,"C"
8.2,17.7,2.8,2.1,0.6,0.796,25,0.374,0.7,"SG"
6.2,18.6,2.4,0.6,0.7,0.656,22,0.437,0.8,"SF"
9.9,25.1,3.4,0.5,2.5,0.797,29,0.454,4.8,"PG"
4.3,11.1,1.7,0.5,0.4,0.84,22,0.433,1.6,"PG"
13.7,29.8,4.9,1.3,2.7,0.768,24,0.433,3.2,"PG"
7.3,18.4,3,0.3,0.9,0.775,21,0.421,3.7,"PG"
3.5,10.3,1.5,0,0.4,0.564,27,0.494,0.8,"C"
10.3,19.7,3.8,1.1,1.7,0.75,27,0.405,3.1,"SF"
8.4,27.6,3.3,0,1.9,0.734,34,0.671,0.6,"C"
3.5,12.9,1.3,0.4,0.6,0.767,20,0.414,2.6,"PG"
1.9,8.1,0.7,0,0.6,0.6,36,0.478,0.4,"C"
15.9,33.2,6.1,1.9,1.7,0.753,24,0.442,2.6,"SG"
8,24.6,2.6,1.5,1.2,0.765,40,0.394,1.8,"SF"
3.2,12.3,1.1,0.1,0.9,0.838,20,0.313,1.8,"PG"
10.5,24.2,3.7,2.4,0.6,0.86,29,0.416,1.1,"SG"
2.7,11.9,1.1,0.4,0.2,0.647,29,0.365,0.3,"SF"
13.5,34.2,4.6,2.4,2,0.816,30,0.393,2.9,"SG"
13.7,28.4,4.9,1.5,2.4,0.753,26,0.443,3.4,"SG"
8.1,18.9,3.4,0,1.3,0.669,23,0.53,1.1,"C"
5.3,14.5,2.3,0,0.7,0.557,26,0.568,0.4,"C"
8.2,18.4,3.4,0.1,1.3,0.728,22,0.529,1.3,"C"
15.7,30.9,6.1,1.5,2,0.727,29,0.461,2,"SF"
18.9,37.2,6.9,2.6,2.5,0.836,21,0.459,3,"SG"
14.1,24.5,5.9,0.3,1.9,0.731,35,0.449,1.7,"PF"
6.1,18.1,2.3,0,1.4,0.778,32,0.534,1.9,"C"
2.3,5.9,0.9,0.3,0.3,0.727,33,0.406,0.6,"PG"
17.6,32.9,6.5,2,2.7,0.698,22,0.434,2.3,"PF"
3,10.9,1,0.5,0.5,0.59,24,0.336,0.5,"SF"
4.2,8.6,1.4,0.4,1,0.833,26,0.7,0,"PF"
9.3,30,3.3,1.8,0.9,0.738,27,0.395,1.2,"PF"
12.9,31.6,5.1,1.3,1.3,0.783,31,0.489,4.7,"C"
7,13.4,3.1,0,0.8,0.833,33,0.534,0.8,"C"
4,14,1.4,0,1.2,0.667,25,0.389,1.6,"PF"
7.7,16.5,2.7,0.7,1.7,0.863,26,0.411,1,"SG"
4.1,11.3,1.4,0.9,0.4,0.8,22,0.378,0.6,"PF"
4.7,15.1,1.5,1.1,0.5,0.848,24,0.395,0.4,"SG"
3.6,15.2,1.4,0.4,0.6,0.7,23,0.431,2,"PG"
8.5,20.2,3.1,0,2.3,0.684,24,0.566,1.2,"C"
1.5,3.8,0.6,0.2,0.1,0.667,25,0.533,0.1,"SF"
13.2,29.3,4.5,2.7,1.5,0.852,25,0.407,1.6,"SG"
4.6,15.8,1.9,0.1,0.7,0.612,30,0.538,1.6,"C"
15,33.7,6,0,3.1,0.605,24,0.529,3,"C"
6,25.3,2.3,0.5,0.9,0.632,34,0.463,3.3,"SF"
5,26.6,2.2,0.2,0.3,0.316,26,0.537,1.2,"SG"
1.5,9,0.7,0,0.1,1,33,0.68,0.6,"C"
9.5,23.7,3.2,0.8,2.2,0.78,23,0.422,3.2,"PG"
4.6,13.9,1.7,1.2,0.1,0.25,24,0.342,0.4,"SF"
17.7,36.3,6.9,1.4,2.5,0.643,22,0.438,2,"SF"
3.7,6.7,1.5,0,0.7,0.724,21,0.731,0.2,"C"
28.1,36.4,10.4,0.7,6.6,0.828,24,0.534,2.3,"PF"
8.9,22.2,2.8,2,1.3,0.797,32,0.464,1.1,"PF"
7.9,16.5,2.8,0.8,1.6,0.769,21,0.371,1.1,"SG"
1.4,7.2,0.5,0.2,0.2,0.667,23,0.381,0.1,"SG"
6,18.3,2.6,0,0.7,0.756,31,0.471,1.1,"C"
3.4,12.9,1.2,0.5,0.4,0.846,32,0.401,0.6,"SG"
15.1,33.7,5.6,2.2,1.7,0.642,25,0.424,4,"SG"
14.3,31.2,5.6,1.6,1.4,0.768,27,0.414,2,"SG"
6.9,19.8,2.5,0,1.9,0.721,20,0.512,1.5,"C"
7.5,19.5,2.8,1,0.9,0.828,24,0.421,0.9,"SG"
15.8,33.7,6.7,0,2.4,0.56,21,0.545,8.2,"PG"
5.7,18.2,2.2,0,1.2,0.65,25,0.52,0.8,"C"
21.4,34,7.5,1.9,4.5,0.785,28,0.438,5.8,"PF"
6,8.6,2,0,2,0.794,29,0.534,0.6,"C"
2.5,5.8,1,0.6,0.1,0.5,33,0.328,0.6,"PG"
13.2,22.5,5.2,1.1,1.6,0.769,22,0.471,1.7,"PF"
11.8,27.9,4.4,1.7,1.3,0.84,25,0.446,3.3,"SG"
14.3,30.8,5.1,1.9,2.2,0.868,28,0.474,1.5,"SF"
22.6,36.3,8.3,2.4,3.6,0.791,24,0.46,4.5,"SG"
5,13.6,2.1,0,0.8,0.636,30,0.578,0.5,"PF"
16.1,33.5,6.1,0.7,3.3,0.681,20,0.47,3.9,"SF"
2.3,9,0.9,0.2,0.3,0.512,26,0.433,0.6,"SG"
2.8,13.2,1.1,0.2,0.4,0.8,25,0.442,1.2,"PG"
2.4,5.4,1.1,0,0.2,0.6,23,0.476,0.1,"PF"
13,23.4,5,1.5,1.5,0.703,29,0.465,1.7,"C"
2.2,8.9,0.8,0.3,0.4,0.833,22,0.29,0.3,"SF"
6.9,19,2.6,1.1,0.6,0.667,24,0.421,1,"SG"
13.5,25.3,5.2,2.2,0.9,0.877,25,0.446,1.9,"SG"
10,19.1,3.2,2.3,1.2,0.835,30,0.379,0.8,"SF"
5.5,18.6,2.3,0.6,0.3,0.813,27,0.442,1.1,"SG"
2.3,7,0.9,0,0.4,0.667,20,0.4,0.5,"PF"
8.8,23.3,3.5,1.4,0.5,0.75,23,0.405,4.5,"PG"
12.1,26.3,4.5,1.2,1.9,0.711,23,0.435,4.2,"SF"
16.2,32.1,6.1,2.2,1.9,0.767,33,0.404,1.3,"PF"
3.9,11,1.5,0.5,0.4,0.565,22,0.484,0.7,"SF"
7.9,19.2,3,1.4,0.5,0.63,29,0.462,1.9,"SF"
5,13.1,2,0.7,0.3,0.895,34,0.491,0.7,"C"
0.5,2.9,0.2,0.1,0.1,0.5,23,0.143,0.1,"SG"
4.9,11.2,2,0,1,0.758,21,0.58,0.4,"PF"
2.4,4.7,0.9,0.1,0.5,0.643,22,0.429,0.2,"PF"
18.6,31.8,6.3,2.5,3.5,0.919,32,0.46,7.9,"PG"
21.4,36.1,8.2,2.3,2.6,0.836,26,0.443,3.4,"SG"
13.9,27.5,6,0,1.9,0.56,23,0.652,0.9,"C"
7.1,19,2.6,0.1,1.8,0.718,25,0.545,0.9,"C"
0.6,2.3,0.2,0,0.1,0.333,29,0.333,0.1,"C"
5.3,16.8,2,0.4,0.9,0.722,31,0.449,0.9,"SF"
7.9,27,3.1,0.8,0.9,0.745,26,0.424,3.2,"PG"
12,30.4,4.5,1.5,1.5,0.919,32,0.454,2.4,"SG"
5.6,17.8,2.3,0,1,0.667,25,0.591,1,"C"
15.5,25.7,5.8,1.9,2,0.74,21,0.414,5.2,"PG"
10.2,23.5,3.3,1.5,2.2,0.868,30,0.452,3.8,"PG"
1,3.2,0.4,0.1,0,0.5,21,0.563,0.1,"PF"
1.8,5.2,0.7,0,0.4,0.55,22,0.564,0.3,"C"
1.7,5.9,0.7,0,0.2,0.6,22,0.5,0.1,"C"
26.9,36.6,8.5,3.1,6.8,0.916,27,0.439,6.6,"PG"
1.7,8,0.7,0.2,0.2,0.75,38,0.333,0.5,"SF"
4.1,10.8,1.6,0.5,0.4,0.696,23,0.447,0.7,"SG"
5.3,14.9,2,0.3,1,0.753,25,0.541,0.9,"C"
15.3,32,4.9,1.7,3.9,0.931,29,0.398,2,"SF"
8.6,25.6,3.1,1.7,0.7,0.769,30,0.387,1.6,"SG"
5.7,21.4,2.2,0.8,0.4,0.596,30,0.451,0.7,"SF"
8.1,16.8,3,0.4,1.8,0.806,22,0.483,3.1,"PG"
6.6,17.5,2.4,0.7,1.1,0.806,24,0.434,1.1,"SG"
14.6,29.6,5.2,2,2.3,0.86,23,0.453,2.6,"PF"
7.8,23.7,2.6,1.8,0.7,0.866,27,0.444,1.4,"SF"
2.8,7.4,1.2,0.4,0.1,0.667,29,0.468,0.5,"PF"
12.4,29.2,4.6,1.4,1.8,0.882,30,0.495,5.3,"PG"
1.1,6.8,0.4,0,0.4,0.857,24,0.263,0.8,"SG"
7.9,23.5,2.9,0.3,1.9,0.655,25,0.478,1.5,"SG"
6.8,13.7,3,0,0.8,0.759,37,0.571,1.9,"C"
5.9,14.1,2.1,1.2,0.5,0.816,25,0.44,1,"PF"
3,11.5,1,0.5,0.4,0.667,22,0.289,0.6,"SG"
11.6,27.8,4.5,0.6,1.9,0.723,20,0.412,4.4,"PG"
5.2,17.5,2,0.4,0.7,0.576,23,0.414,1.9,"SF"
12,31.5,4.8,0,2.4,0.58,29,0.645,1.5,"C"
1.7,12.5,0.7,0.3,0,0.4,29,0.377,0.8,"SG"
8.1,21.5,3.3,0.1,1.3,0.709,21,0.443,2.9,"PG"
8,20.8,2.9,0.8,1.4,0.829,25,0.465,2.9,"PG"
23,33.9,8.1,1.1,5.8,0.825,28,0.456,5.2,"SG"
25.2,36.2,8.5,2.2,6.1,0.746,27,0.47,5.4,"C"
13.5,29.9,4.5,2,2.6,0.764,31,0.414,2,"PF"
1.1,5.3,0.5,0.1,0.1,0.5,23,0.389,0.6,"PG"
19.4,31,7.5,1.1,3.4,0.849,24,0.436,6.2,"PG"
15.2,29.7,5.9,1.5,1.9,0.694,20,0.395,5.2,"PG"
10.2,27.2,3.9,1.9,0.5,0.745,24,0.417,3.2,"SG"
12.3,28,5.1,0.2,1.8,0.651,26,0.563,1.3,"C"
3.1,12.3,1.1,0.2,0.8,0.667,20,0.396,0.5,"SF"
8.4,16.8,3.2,0.3,1.6,0.87,29,0.435,1.5,"PG"
1.8,9.2,0.5,0.4,0.4,1,22,0.32,1,"PG"
3.2,8.2,0.9,0.5,0.8,0.7,23,0.485,0.5,"PG"
24.9,34.5,8.4,2.7,5.4,0.878,21,0.432,4.7,"SG"
8.4,18.9,2.6,1.1,2,0.835,34,0.412,2.1,"PG"
10,24.9,4,0.8,1.1,0.779,28,0.524,1.5,"C"
5.8,15.2,2.6,0,0.6,0.667,21,0.608,0.6,"C"
11,28.7,4.1,1.1,1.5,0.747,22,0.44,1.6,"SF"
14.3,30.6,5.4,1.7,1.7,0.739,26,0.398,3.8,"SG"
12,24.7,4.5,1.8,1.3,0.898,39,0.456,1.6,"C"
11.6,24.5,4.6,0.2,2.3,0.75,21,0.514,2,"C"
20.5,33.4,7.5,2.4,3,0.805,21,0.437,3.7,"SG"
5.9,21.3,2.2,1,0.5,0.733,24,0.38,1.2,"PF"
7.8,21.8,2.9,1.1,0.8,0.79,26,0.467,1,"SF"
6.5,25.2,2.3,1.4,0.5,0.765,20,0.386,1.6,"PF"
11,32.7,4,1.1,1.9,0.775,27,0.454,7.3,"PF"
3.3,13.5,1.4,0.2,0.4,0.8,22,0.375,0.7,"SG"
7.4,14.7,2.8,0.5,1.2,0.878,28,0.414,2,"PG"
16.6,30.4,6.2,0,4.1,0.574,32,0.555,1.3,"C"
8.5,21.2,3.2,0.4,1.7,0.719,26,0.593,1.2,"C"
11.4,22.9,4.5,0.5,2,0.714,36,0.438,3.4,"SG"
12.5,31.5,5.2,1.6,0.6,0.706,28,0.508,2.3,"SG"
5.3,18.9,2.2,0,0.9,0.667,28,0.582,0.5,"C"
2.6,12.9,1,0,0.7,0.75,30,0.5,0.8,"C"
12.7,28.7,5.2,0.5,1.7,0.649,23,0.493,6.2,"PG"
8.6,19.5,3.2,0.7,1.5,0.76,21,0.388,3.2,"PG"
14.1,25.8,5.9,0,2.2,0.848,25,0.592,1.5,"C"
17.7,31.4,6.3,1.7,3.4,0.795,28,0.473,5,"PG"
18,31.2,6,3.2,2.8,0.809,29,0.428,2.2,"SG"
2.1,12,1,0,0.2,0.379,26,0.541,1.2,"PF"
10.9,25.1,4,1.3,1.5,0.778,30,0.452,1.3,"PF"
17.8,32.2,6.5,2.2,2.6,0.867,25,0.459,2.9,"SF"
8.2,25.7,3.3,0.5,1.2,0.85,29,0.447,2.2,"SF"
11.1,23.2,3.9,1.3,2,0.799,24,0.429,1.6,"PF"
5.9,21.9,2.3,0.6,0.6,0.721,19,0.364,3.2,"PG"
8.6,20,3.1,1.4,1.1,0.832,23,0.426,3.2,"PG"
1.6,5.7,0.6,0.4,0.1,0.5,20,0.286,0.3,"SG"
8.4,24.8,3.1,1.4,0.9,0.769,31,0.418,1.9,"SG"
17.5,34.4,6.6,2.3,2,0.827,23,0.485,2.9,"SG"
10,27,3.5,1.3,1.6,0.786,31,0.46,2.8,"PG"
12.1,22.7,4.1,2.7,1.2,0.85,32,0.407,0.6,"SG"
26.9,36.7,9.9,0.6,6.5,0.76,23,0.529,4.8,"PF"
4.1,14.7,1.6,0.6,0.4,0.818,24,0.424,0.7,"SF"
17.3,31.7,6.5,1.5,2.9,0.801,31,0.45,4.8,"PG"
5.9,16.9,2.4,0.2,1,0.775,28,0.479,0.9,"C"
10.3,20.4,4.3,0,1.7,0.739,27,0.565,2.2,"C"
2.4,7.1,0.8,0.4,0.5,0.682,22,0.426,0.5,"PF"
18.9,34.2,7,1.5,3.4,0.827,25,0.445,2,"PF"
14,25.3,5.8,0,2.4,0.703,28,0.54,1,"C"
4,8.7,1.4,0.5,0.7,0.862,21,0.363,0.5,"PF"
7.4,19.7,3,0.8,0.6,0.763,26,0.448,1.5,"SG"
4.8,14.9,1.8,0,1.2,0.703,31,0.556,0.7,"C"
1.2,2.7,0.4,0,0.5,0.833,19,0.444,0,"C"
4.4,19.7,1.6,0.5,0.8,0.733,27,0.379,1.2,"SG"
8.6,21.1,2.6,1.1,2.3,0.902,26,0.38,3.8,"PG"
4.4,13.3,1.8,0.1,0.7,0.667,23,0.458,0.9,"PF"
6.6,17.4,2.4,0.3,1.5,0.702,23,0.418,3.1,"PG"
15.2,26.9,4.9,1.7,3.7,0.893,28,0.373,4.8,"PG"
6.3,11.3,2.5,0.4,0.8,0.684,22,0.465,1.3,"PG"
10.9,24.9,4.7,0.4,1,0.698,29,0.486,4.4,"PG"
5.6,14.3,2.4,0,0.8,0.806,20,0.566,0.9,"PF"
3.7,9.5,1.4,0,0.9,0.765,20,0.5,0.6,"C"
11.6,23.2,4.4,1.7,1.2,0.784,33,0.439,6.3,"PG"
17.1,30.2,5.8,2.8,2.8,0.904,33,0.46,3,"SG"
8.3,28.1,3,1.8,0.5,0.696,32,0.403,1.8,"SG"
3,8.8,1.2,0.2,0.5,0.462,23,0.577,0.6,"SG"
12.6,24,5.2,1,1.3,0.741,22,0.482,1.9,"PF"
5.7,12.4,1.9,0,2,0.737,26,0.481,0.9,"PF"
0.8,6.6,0.2,0.2,0.2,0.5,23,0.25,0.4,"PF"
9.7,26.1,3.4,1.4,1.5,0.818,27,0.404,1.2,"SF"
6.3,12.6,2.8,0,0.8,0.724,22,0.558,0.4,"C"
4.7,15.6,2,0.2,0.5,0.625,24,0.543,0.4,"SF"
1,4.6,0.4,0.1,0.1,0.667,23,0.298,0.3,"SF"
6.9,18.6,3.1,0,0.7,0.594,22,0.659,0.7,"C"
4.6,11.3,1.6,0.6,0.8,0.632,24,0.382,0.3,"SF"
10.3,20.7,3.9,1.3,1.3,0.903,37,0.415,2.3,"SG"
16.7,31.7,5.9,2,2.8,0.905,20,0.451,3.4,"PG"
4.9,20.3,1.9,0.8,0.3,0.8,35,0.389,3.6,"PG"
5.1,18.6,2.1,0.5,0.5,0.583,25,0.392,1.2,"SG"
7.1,22.3,2.5,0.7,1.3,0.836,27,0.474,1,"SF"
30.4,35.4,9,3.7,8.7,0.858,28,0.449,8.8,"SG"
10.8,26.6,4.2,0.8,1.5,0.698,30,0.503,3.8,"PF"
2.7,6,0.7,0.7,0.7,1,25,0.286,0,"PF"
2.8,10.2,0.8,0.5,0.7,0.667,22,0.357,0.3,"SG"
7,18.3,2.5,1.8,0.1,0.5,27,0.469,0.7,"SF"
10.3,28,4.1,0.8,1.5,0.721,27,0.457,1.4,"PF"
3.2,14.3,1,0.6,0.6,0.771,32,0.393,1.6,"PF"
7.7,22.8,3,0.5,1.2,0.767,23,0.446,1,"PF"
8.2,20,3.3,0.1,1.6,0.776,19,0.589,0.7,"C"
7.5,25,3,0.4,1,0.84,34,0.427,5.6,"PG"
3.4,8.6,1.4,0.1,0.6,0.905,31,0.391,0.4,"C"
3.3,16,1.2,0.8,0.2,0.889,40,0.383,1.2,"SG"
4.8,9.5,2.1,0,0.6,0.731,30,0.621,0.5,"C"
4.8,16.2,1.9,0.3,0.8,0.776,21,0.352,2.1,"PG"
14.5,30.7,5.3,1.7,2.1,0.644,21,0.465,1.6,"SG"
13.9,30.5,5,1.3,2.7,0.826,19,0.475,1.6,"SF"
10.8,23.4,3.8,0.7,2.6,0.868,31,0.477,1.3,"PF"
14.2,33,5.1,1.2,2.9,0.845,29,0.446,7,"PG"
1.7,4.3,0.7,0.2,0.1,0.5,27,0.375,0,"C"
8.4,20.3,3,0.4,2,0.675,23,0.535,0.7,"PF"
12.9,24.6,4.8,1.2,2.2,0.861,25,0.457,2.3,"SG"
18,25,5,1,7,1,29,0.417,4,"PG"
8.4,22.8,2.8,0.8,1.9,0.745,25,0.416,4.6,"PG"
7.9,23.7,2.8,1.4,0.9,0.795,29,0.416,1.4,"SG"
22.2,36.7,7.4,1.2,6.2,0.854,28,0.474,4.9,"SG"
1.7,5.7,0.7,0,0.3,0.5,32,0.5,0.6,"C"
6.3,14.5,2,0.9,1.3,0.863,30,0.399,0.9,"SG"
10.8,25.3,3.9,1.9,1.1,0.827,26,0.491,1.6,"SG"
11.5,31.4,4.1,2.5,0.8,0.795,30,0.467,4.8,"SF"
6.8,21.9,2.7,0.7,0.7,0.889,36,0.406,1.5,"SF"
3.9,10.5,1.5,0.5,0.4,0.759,25,0.43,0.7,"PG"
1.5,6.3,0.5,0,0.5,0.5,24,0.5,0,"PF"
22.9,30.3,8.1,1,5.7,0.769,23,0.483,3.2,"C"
4.1,9.7,1.8,0,0.5,0.638,26,0.516,0.7,"C"
10.5,24.1,4.2,0.2,1.8,0.715,20,0.576,1.3,"PF"
8.8,25.9,3.8,0,1.2,0.57,27,0.572,1.5,"C"
2.3,7.3,0.7,0.5,0.4,0.692,29,0.288,0.2,"SF"
19.4,34.4,6.8,1.5,4.3,0.726,27,0.42,9.6,"PG"
8.7,16,3.6,0.1,1.4,0.536,22,0.533,0.6,"PF"
4.8,10.5,1.9,0.4,0.6,0.84,24,0.398,0.4,"PF"
5.4,17,1.9,0,1.6,0.867,28,0.417,0.6,"PF"
5.8,15.3,2.1,0.9,0.6,0.807,30,0.466,0.6,"PF"
12.7,22.4,5.1,0.4,2.2,0.806,25,0.568,1.1,"C"
5.4,19.9,2,0.6,0.7,0.76,20,0.379,0.7,"PF"
13.9,29.4,5.1,1,2.7,0.768,28,0.465,2.5,"SG"
4.6,14.2,2,0,0.5,0.682,23,0.627,1.8,"C"
13.9,23.3,5.3,1.4,1.9,0.8,25,0.451,2.7,"SG"
4,12.3,1.7,0.1,0.6,0.684,23,0.476,0.4,"PF"
4.5,16,1.6,0.8,0.4,0.8,36,0.503,2.1,"PG"
7.9,23.2,2.8,1.2,1,0.702,22,0.469,1.3,"SG"
2.3,14.2,0.9,0.5,0.1,0.3,26,0.33,0.3,"PF"
13.1,25.4,5.1,0.7,2.3,0.634,20,0.417,1.5,"SF"
2.6,12,0.8,0.4,0.4,1,28,0.326,3.2,"PG"
12.9,33.2,4.9,1.6,1.5,0.845,24,0.451,2.9,"SF"
19,36.1,7.6,1.5,2.3,0.786,27,0.494,6,"SG"
3.3,11.1,1.2,0.6,0.4,0.833,22,0.387,0.5,"PF"
16.1,26.7,6.1,0.1,3.7,0.718,23,0.558,2.6,"C"
0.8,7.6,0.3,0.3,0,0.5,29,0.462,1.1,"SG"
6.2,13.7,2.3,0.9,0.7,0.737,24,0.431,0.7,"SF"
12.2,31.5,4,2.2,1.9,0.823,28,0.371,2.1,"SG"
6.7,22.1,2.7,0.8,0.4,0.722,22,0.442,1.1,"SF"
7.8,24.7,3,0.7,1,0.635,21,0.424,2.2,"PF"
14.3,26.4,6.1,0,2.2,0.63,23,0.505,1.8,"C"
1.1,5.9,0.3,0,0.4,0.778,25,0.273,0.7,"PG"
21.3,35.6,7.8,1.5,4.2,0.858,22,0.545,2.4,"C"
16.2,23.3,5.8,1.2,3.4,0.816,26,0.468,2.3,"SF"
3.6,8.8,1.3,0.3,0.7,0.917,22,0.3,1.3,"PG"
11.5,23.4,4.2,1.4,1.8,0.77,26,0.497,2.7,"PF"
22.1,34.2,7.4,2.9,4.5,0.864,27,0.431,5.6,"PG"
5.9,14.4,2.4,0,1.1,0.706,28,0.514,0.6,"PF"
12.9,27.5,4.4,1.7,2.5,0.796,28,0.42,3.5,"SG"
13.4,33.2,4.6,2.1,2.1,0.789,24,0.426,2.2,"SG"
26.4,34.2,9.3,2.5,5.3,0.889,29,0.516,5.4,"SF"
17.6,28,5.7,2.3,4,0.88,29,0.458,1.7,"C"
4,13.8,1.7,0,0.6,0.545,21,0.58,0.6,"C"
4.2,13.8,1.6,0,1,0.689,25,0.54,0.8,"C"
20.1,36.4,7.2,1.8,3.9,0.884,26,0.466,4,"SF"
20,34.3,7.9,3.1,1.1,0.837,27,0.488,2.5,"SG"
6.1,20.1,2.5,0.3,0.8,1,20,0.423,2.1,"PG"
6.7,19.6,3.1,0,0.5,0.446,28,0.571,1.2,"C"
13.4,29.3,5.5,0.8,1.6,0.737,23,0.429,6,"PG"
22.7,32.4,8.1,1.9,4.5,0.793,22,0.439,1.2,"PF"
7.9,26.7,3.1,0.3,1.4,0.712,24,0.527,2.7,"SF"
3.2,15,1.2,0.1,0.7,0.525,26,0.384,1.8,"SF"
9.2,21.6,3,2.2,0.9,0.889,36,0.459,1.2,"SG"
16.1,31.2,6.1,2.1,1.9,0.707,22,0.45,1.8,"PF"
16.2,32.2,5.2,3.1,2.9,0.854,31,0.427,6.9,"PG"
7.1,18,2.9,0.1,1.3,0.772,27,0.583,2.1,"C"
1.9,4.9,0.6,0.2,0.6,0.538,29,0.333,0.2,"SF"
24.4,32.2,8.9,2.8,3.9,0.889,25,0.491,5.1,"PG"
23.1,33.5,9.2,0.4,4.5,0.837,32,0.51,2,"C"
9.2,22.6,3.7,0.8,1,0.661,27,0.427,2.9,"SG"
4.1,18.5,1.4,0.7,0.6,0.83,29,0.382,0.6,"PF"
6.2,14.9,2.2,1.3,0.6,0.805,26,0.371,1,"SG"
15.2,29.7,5.5,2.1,2.1,0.843,20,0.434,1.2,"PF"
27.5,36.9,10.5,1.8,4.7,0.731,33,0.542,9.1,"PF"
0.5,4.7,0.1,0,0.2,0.6,23,0.154,0.4,"PG"
10.2,34.2,3.9,1.7,0.6,0.451,20,0.36,7.2,"PG"
2.3,9.9,1,0.1,0.1,1,27,0.412,0.9,"PG"
22.6,32.8,7.4,2.4,5.5,0.88,31,0.435,5.3,"SG"
7.5,25.6,2.7,1,1.1,0.684,31,0.481,0.9,"PF"
2.5,8.5,1,0.1,0.4,0.679,25,0.613,0.4,"C"
5.2,14.3,1.8,1.2,0.3,0.773,28,0.423,0.6,"SF"
7.6,20,2.8,1.1,0.9,0.855,21,0.443,1.7,"SG"
6.7,16.3,2.5,1.4,0.4,0.727,22,0.392,1.3,"PF"
3.4,12.5,1.2,0.5,0.7,0.773,22,0.333,0.5,"SG"
13,29.9,5.1,1.3,1.6,0.882,25,0.485,3.2,"PG"
6.3,18.8,2,0.9,1.4,0.804,28,0.382,3,"PG"
2.5,8.4,0.9,0.5,0.3,1,24,0.464,0.2,"SF"
3.2,9.4,1.2,0.5,0.4,0.667,21,0.41,0.5,"SG"
6.7,13.6,2.4,1.3,0.5,0.842,19,0.36,1.4,"SG"
2,5,1,0,0,0,25,0.571,0,"C"
8.9,20,3.1,1,1.7,0.84,40,0.434,2.5,"SG"
17.2,33,5.9,1.5,3.8,0.834,33,0.42,4.2,"C"
8.4,25.3,3.5,0,1.3,0.675,33,0.518,1.8,"C"
12.1,24.3,4.2,1.9,1.9,0.908,31,0.441,1.9,"SG"
